state,import_rate_inr
Andhra Pradesh,7.10
Arunachal Pradesh,4.00
Assam,6.50
Bihar,7.60
Chhattisgarh,6.20
Goa,5.10
Gujarat,7.50
Haryana,7.10
Himachal Pradesh,5.20
Jharkhand,6.25
Karnataka,8.50
Kerala,7.10
Madhya Pradesh,7.30
Maharashtra,9.50
Manipur,6.00
Meghalaya,6.00
Mizoram,5.50
Nagaland,6.00
Odisha,5.80
Punjab,6.60
Rajasthan,7.50
Sikkim,5.00
Tamil Nadu,8.00
Telangana,7.50
Tripura,6.10
Uttar Pradesh,7.50
Uttarakhand,5.80
West Bengal,8.10
Delhi,8.00
Jammu and Kashmir,5.00
Ladakh,5.00
Puducherry,5.50
Chandigarh,5.10
Andaman and Nicobar Islands,6.00
Dadra and Nagar Haveli and Daman and Diu,5.00
Lakshadweep,6.00
